name,salary_from,salary_to,currency,area_name,published_at
Наладчик станков и манипуляторов с ПУ,40000,60000,RUR,Сызрань,2022-12-15T08:53:00+0300
Программист C++/Qt,85000,,RUR,Череповец,2022-12-15T08:51:17+0300
QA engineer (remote),,1500,USD,Челябинск,2022-12-15T08:04:14+0300
"Преподаватель по курсу ""3D-визуализатор""",,,,Новосибирск,2022-12-15T08:47:27+0300
Системный администратор,50000,80000,RUR,Владивосток,2022-12-15T08:17:40+0300
Специалист службы технической поддержки,26000,35000,RUR,Иркутск,2022-12-15T08:21:45+0300
Механик по обслуживанию,45000,,RUR,Челябинск,2022-12-15T08:08:51+0300
Токарь-расточник,54000,,RUR,,2022-12-15T08:02:17+0300
Руководитель группы по подключению и сервисному обслуживанию,65000,65000,RUR,Челябинск,2022-12-15T08:03:56+0300
Инженер-диагност фермы,,67000,RUR,,2022-12-15T08:07:40+0300
Токарь,,,,,2022-12-15T08:57:10+0300
Специалист отдела поддержки пользователей,45000,,RUR,Новосибирск,2022-12-15T08:16:04+0300
Инженер-механик службы сервиса по спецтехнике,,,,Тула,2022-12-15T08:22:55+0300
